mii_name,body_height,body_weight,gender,eye_type,eye_color,eye_size,eye_rotation,eye_horizontal,eye_vertical,eyebrow_type,eyebrow_color,nose_type,nose_size,mouth_type,mouth_color,hair_type,hair_color,face_type,face_color,mole_enable,mole_horizontal,mole_vertical,mole_size,glasses_type,favorite_color,dataset
䥆摌睑㔷噥捏䅧䑁久䅋,71,69,1,44,5,0,8,10,6,1,2,6,10,1,5,81,2,0,2,0,2,13,3,1,12,nnid
䱴㝴椱漹䔯䭖䅑煁㥬䅲,71,107,1,41,5,0,8,10,21,1,2,1,10,1,5,103,2,0,2,0,26,29,4,1,10,nnid
橱さ匲砱敧㥭䅷㉁㥇䅱,71,56,1,53,5,0,7,2,26,1,2,1,10,1,5,65,2,0,2,1,18,16,2,1,11,nnid
䙳䰴䝒⭨千䵄䅧橁氱䅋,72,85,1,48,5,0,7,10,10,1,2,6,10,1,5,65,2,0,2,0,2,14,4,1,12,nnid
㑳婨卪䱶瑏穌䅧楁婖䅂,72,77,1,53,5,0,7,10,2,1,2,1,10,1,5,81,2,0,2,1,2,14,2,1,10,nnid
唷癥噬员瑕杏䅷䵁䩅䅔,72,85,1,40,5,0,1,10,0,1,2,6,10,1,5,103,2,0,2,0,18,22,4,1,12,nnid
搷橦䑕䈰堫䴯䅧䅁䉅䅱,71,69,0,1,5,0,1,10,0,1,2,1,10,1,5,119,1,0,2,0,10,14,4,1,10,nnid
椷汇升砱⭶汧䅧䅁䉅䅋,69,85,1,33,5,0,6,10,6,1,2,16,9,7,5,119,4,0,2,0,26,26,2,2,11,nnid
偳婱卄䱶㥐瀹䅧摁䍫䵸,80,77,1,15,5,0,5,10,2,1,2,6,10,1,5,65,2,11,3,1,18,16,2,1,12,nnid
䭃婵穰乭㡤搷䅁瑁刱䄶,71,85,0,57,5,0,7,10,2,1,2,21,9,7,5,81,2,0,2,0,26,28,3,1,11,nnid
㝂ㅧ穣娷灥㔹䅁乁瑇䅑,71,69,1,51,5,0,12,10,4,1,2,8,11,8,5,81,2,0,2,0,2,12,3,9,11,nnid
戸婪穚乭兦晓䅧乁䙭䅶,72,77,1,40,5,0,8,10,4,1,2,1,10,1,5,119,2,0,2,1,18,16,0,1,10,nnid
㑳䨵䐰䈰收㉃䅑䩁婆䅔,71,85,1,47,5,0,1,10,0,1,2,6,10,1,5,65,2,0,2,0,2,25,3,1,12,nnid
䙐䩪祈椷㡲㕋䅑摁噫䅓,71,69,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,0,2,1,26,26,3,1,10,nnid
歋䱡䝣祷㑢㍸䅑䅁硇䅱,71,85,1,44,5,0,1,10,0,1,2,6,10,1,5,103,2,0,2,0,2,14,4,1,12,nnid
剕䥺䑅䈰呹婕䅑䍁久䅶,72,111,0,1,5,0,1,10,0,1,2,1,10,1,5,119,1,0,2,0,10,14,4,1,11,nnid
兰䡎䅵晍䙹硲䅧䅁䉆䅩,71,85,1,48,5,0,1,10,0,1,2,1,10,1,5,103,2,0,2,1,18,16,2,1,11,nnid
䱴噫䑫䈰㑺祸䅷剁婖䵦,72,52,0,1,5,0,1,10,0,1,2,1,10,1,5,65,1,11,3,0,2,29,2,1,10,nnid
㉩儫穣娷䝒㘳䅑㡁䩫䵶,73,115,1,48,4,6,16,10,27,23,3,1,10,1,5,122,2,11,3,1,26,24,0,1,11,nnid
兄刵䑩桔圲㡈䅧牁婆䅅,71,69,1,1,5,0,5,10,2,1,2,6,10,1,5,65,1,0,2,1,18,16,2,1,12,nnid
⽅偐穯㙎效䭵䅧汁桅䅰,72,111,1,53,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,1,26,28,3,1,11,nnid
〱睐匲砱桧楖䅧䅁䉖䩱,105,103,1,1,5,4,10,3,24,1,2,17,3,39,5,81,1,0,2,0,10,14,4,1,11,nnid
瑬䍺椷扵㍮爰䅁㥁䩫䅑,69,103,0,16,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,1,18,16,2,1,11,nnid
㑪㕅睓睑㥦佌䅷䅁睗䵑,67,111,0,54,5,0,8,10,10,1,2,12,11,3,5,65,2,0,2,1,18,16,0,1,10,nnid
捐丫䐰䈰刷杍䅧敁䡅䵦,77,77,0,56,4,6,1,10,0,1,2,1,10,9,5,84,4,11,3,1,10,16,0,11,10,nnid
㐷戯㉑挰慔杔䅧扁婫䅔,71,103,1,57,5,0,8,10,17,1,2,21,11,1,5,81,2,0,2,0,10,16,3,1,12,nnid
歷捦杒敱欲瘷䅧⭁桗䅓,69,85,0,2,5,0,1,10,0,1,2,1,10,1,5,103,2,0,2,1,2,13,3,1,10,nnid
样煎穰乭㍦穲䅁䅁䉅䅲,71,69,0,1,5,0,1,10,0,1,2,1,10,1,5,81,1,0,2,0,10,14,4,1,10,nnid
䍇䝰呱㑁煚汁䅧䅁䉅䅅,71,69,1,54,5,0,8,10,8,1,2,1,10,1,5,119,2,0,2,1,18,16,2,1,11,nnid
䵢焸䡁睒䉋煸䅁䩁栱䵵,69,103,1,1,5,0,5,10,2,1,2,6,10,1,5,122,1,11,3,1,2,27,2,1,12,nnid
㙚坓䉉啚⭚歚䅁瑁䉅䵦,70,77,1,52,5,6,6,10,21,23,3,6,10,1,5,106,2,11,3,0,10,13,1,1,12,nnid
剨䄴楬漹欯べ䅷硁䙅䅆,72,81,0,40,5,0,7,2,26,1,2,1,10,1,5,65,2,0,2,1,18,16,2,1,10,nnid
祖瘳穳娷䙚桮䅷䥁硭䵲,73,56,1,11,5,6,1,10,0,1,2,1,10,1,5,68,3,11,3,1,26,24,2,1,11,nnid
浓䥧兑ㅄ煶呓䅷獁㥭䅅,72,107,0,40,5,0,7,2,26,1,2,25,11,7,5,65,2,0,2,0,10,19,1,1,11,nnid
兌啖䐰楓癭慣䅁穁串䅭,71,119,1,48,4,0,7,10,10,1,2,1,10,1,5,81,2,0,2,0,2,29,3,1,11,nnid
㔷歗楲扵卯捎䅁硁剫䅅,71,85,1,48,4,0,8,10,4,1,2,21,9,7,5,119,2,0,2,0,2,14,4,1,10,nnid
浕慓午獤㙸效䅁乁㥇䅱,72,85,1,42,5,0,7,10,10,1,2,20,11,7,5,81,2,0,2,1,18,16,2,1,12,nnid
䅌卥瑌㘹摶啄䅧䅁硃䅱,71,85,1,45,5,0,1,10,0,1,2,6,10,1,5,103,2,0,2,1,18,16,3,1,12,nnid
⽫䉯倲买煊す䅑䅁䉗䅋,71,56,1,53,5,0,7,10,21,1,2,8,11,1,5,65,2,0,2,1,2,28,3,1,12,nnid
㜱甶坘啗穫嘫䅷畁ㅖ䅪,79,107,1,48,5,0,7,10,27,1,2,1,10,1,5,119,2,0,2,0,2,14,4,1,12,nnid
倸䭱穚乭⽣㕶䅑䅁硇䅔,71,107,1,50,5,0,5,10,27,1,2,9,11,1,5,119,2,0,2,0,10,14,4,1,10,nnid
慰奤祮椷橮婌䅁䩁瑆䅅,71,107,0,52,5,0,7,2,28,1,2,11,11,8,5,81,2,0,2,0,10,22,3,1,11,nnid
呂㈶穰乭湥㙰䅷杁瀱䅎,71,56,1,51,5,0,8,10,21,1,2,1,10,1,5,65,2,0,2,0,18,21,4,1,11,nnid
伸䬲根㥲浹慚䅧穁汖䅎,71,69,1,44,5,0,1,10,0,1,2,1,10,1,5,103,2,0,2,0,2,12,3,1,11,nnid
㑳她䅥晍㘱䭸䅧婁㥇䅱,71,69,1,52,5,0,7,10,10,1,2,1,10,1,5,81,2,0,2,0,2,14,4,1,10,nnid
異䍬礴瑫儰硺䅁䅁剆䅑,70,89,1,49,5,0,5,10,23,23,3,20,10,7,5,65,1,0,2,1,18,16,2,1,12,nnid
䉁敉升砱穰㍏䅧灁㥭䅂,71,99,0,58,5,0,8,10,8,1,2,21,11,1,5,81,2,0,2,1,18,16,2,1,10,nnid
眴乓穊乭䱘䵫䅷十䌲䵋,69,111,1,1,5,0,1,10,0,1,2,1,10,1,5,122,1,11,3,1,18,16,2,1,10,nnid
卲䭇䐰䈰焲栫䅷潁㤱䅩,71,56,0,1,5,0,1,10,0,1,2,1,10,1,5,103,1,0,2,1,2,27,3,1,10,nnid
男呌⽤㉊䡗穘䅷杁㄰䴯,80,119,1,4,5,6,10,10,6,23,3,6,10,1,5,84,3,11,3,0,26,28,2,1,12,nnid
睮䉉卄䱶䙁㕏䅁呁㥭䵔,71,77,1,1,5,0,1,10,0,1,2,1,10,1,5,122,1,11,3,0,18,21,4,1,11,nnid
漴挸䑫䈰煺㔱䅁㕁䉫䅲,71,69,0,40,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,1,18,16,2,1,10,nnid
浍汩內ㅄ究ㅑ䅑潁瑭䅋,72,85,1,53,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,1,26,26,3,1,11,nnid
硫䵨椷扵䙱穵䅷䵁噬䅈,72,73,0,46,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,0,10,14,3,1,11,nnid
⬷䙫杸敱㤱啢䅁䅁桖䅳,71,107,1,48,5,0,7,2,26,1,2,1,10,1,5,65,2,0,2,0,26,25,3,1,10,nnid
汤呶扒电愳婨䅷捁摆䅨,71,52,1,44,5,0,7,10,27,1,2,6,10,1,5,119,2,0,2,1,10,12,2,1,12,nnid
べ䝖具ㅄ䝧䌶䅁十䘲䅂,71,52,0,40,5,0,1,10,0,1,2,1,10,1,5,103,2,0,2,0,10,14,3,1,11,nnid
䕶眫䑅䈰䔰杍䅑摁䩫䅲,72,85,1,47,5,0,4,10,10,1,2,1,10,1,5,119,2,0,2,1,10,16,0,1,10,nnid
䙥⬷⭬焯桭卋䅧䅁䉅䅌,69,99,1,1,5,0,5,10,2,1,2,6,10,1,5,103,1,0,2,1,18,16,2,1,12,nnid
倷䥃穙㙎䕂祎䅁䅁䉅䅎,69,107,1,21,5,0,1,10,0,1,2,6,10,1,5,119,2,0,2,0,10,18,4,1,12,nnid
䕃〵睃睑慘啳䅑汁砱䴫,80,119,1,56,4,6,1,10,0,1,2,1,10,1,5,106,4,11,3,1,10,16,2,1,11,nnid
汉奓㥖杳䥕杓䅑噁ㅇ䅔,69,115,1,13,5,0,5,10,27,1,2,6,10,1,5,81,2,0,2,1,26,26,2,1,12,nnid
椲㍥兑ㅄ㑪䅒䅑呁搰䅳,72,85,0,48,5,0,7,10,27,1,2,12,11,1,5,119,2,0,2,1,18,16,2,1,11,nnid
㙒䭩穹捡刹䉵䅑桁噆䅃,71,56,1,46,5,0,7,10,10,1,2,1,10,1,5,119,2,0,2,1,18,16,2,1,12,nnid
㙁瘵椷扵㥰睧䅑䉁ㅇ䅔,72,81,0,53,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,0,10,18,2,1,11,nnid
兖⭕匲砱灧浓䅑瑁䩅䅄,71,69,0,44,5,0,8,10,6,1,2,1,10,1,5,103,2,0,2,0,18,22,3,1,11,nnid
ㅣ楬楬漹湹湰䅷䅁䉅䅬,71,81,1,53,4,0,1,10,0,1,2,1,10,1,5,65,2,0,2,0,2,29,3,1,11,nnid
㑷嘲稴㙎䵐㘵䅑捁框䅵,71,99,1,46,5,0,7,10,12,1,2,16,9,8,5,103,2,0,2,0,2,14,4,4,10,nnid
㠷楐ぇ娫敧㉘䅷慁䩫䅌,72,73,1,53,5,0,7,10,17,1,2,12,11,1,5,81,2,0,2,0,2,14,4,1,12,nnid
獶杹卺䱶㙐扰䅧佁噆䵘,73,99,1,38,5,6,1,10,0,1,2,1,10,7,5,106,2,11,3,1,10,16,0,4,10,nnid
䭣䨰䄫晍㍸㕐䅑㥁ㅫ䅅,71,69,1,44,5,0,1,10,0,1,2,1,10,1,5,103,2,0,2,0,2,14,4,1,10,nnid
摓㕄捶摢佬佅䅷䅁䉅䅫,71,56,1,49,4,0,8,10,8,1,2,20,11,7,5,103,2,0,2,1,10,16,0,1,12,nnid
䍫䭌稸娷奘低䅑乁丱䵃,69,111,1,43,4,6,10,10,6,23,3,1,10,1,5,68,2,11,3,1,26,28,0,1,11,nnid
䝡慐儹ㅈ䝬㡰䅷䅁桅䅫,71,69,1,1,5,0,5,10,2,1,2,6,10,1,5,65,1,0,2,0,10,14,4,1,12,nnid
䥃ㅶ杅杆汱潪䅁䅁䉅䄰,71,85,1,40,5,0,7,10,8,1,2,11,11,7,5,65,2,0,2,0,10,12,3,1,12,nnid
䅰㍳卄䱶䅐橮䅑捁噬䅱,71,56,0,1,5,0,1,10,0,1,2,1,10,1,5,81,1,0,2,1,18,16,2,1,11,nnid
灤㙈な乥う兂䅧摁刱䅌,72,85,1,40,5,0,1,10,0,1,2,6,10,1,5,81,2,0,2,0,18,17,3,1,12,nnid
ぶ䵢椷扵慴晚䅑楁㕇䅹,71,85,1,42,5,0,7,10,19,1,2,15,11,7,1,81,2,0,2,1,18,16,2,12,11,nnid
㑳穚稴㙎敁书䅧㕁瀱䅳,71,85,1,1,5,0,5,10,2,1,2,6,10,1,5,65,1,0,2,1,2,13,1,1,12,nnid
㑂摧升砱卧慨䅧坁框䅋,71,56,0,44,5,0,7,10,17,1,2,1,10,1,5,119,2,0,2,1,18,16,2,1,11,nnid
㘷睲稵乭晦扦䅷潁摬䅈,71,107,1,53,5,0,7,2,26,1,2,1,10,1,5,81,2,0,2,1,18,16,2,1,10,nnid
㠳䵲根㥲癸癪䅷䅁䉅䅏,69,103,1,1,5,0,1,10,0,1,2,1,10,1,5,65,1,0,2,1,10,19,2,1,10,nnid
䕒獬甯煳兪汕䅧䅁剅䅕,71,56,1,51,5,0,7,10,21,1,2,1,10,7,5,103,2,0,2,0,10,14,4,1,12,nnid
橤䱇礳椷究瑩䅷䅁䉅䵦,71,89,1,57,5,6,9,2,24,23,3,14,10,1,5,106,2,11,3,1,18,16,2,1,11,nnid
㡲䍋䥓硁橔偓䅑䅁硇䄴,72,103,1,52,4,0,8,10,19,1,2,6,11,7,1,103,2,0,2,0,2,14,4,1,12,nnid
田ㄸ嘰漰噍桵䅁䅁剂䅹,71,69,1,45,5,0,1,10,0,1,2,6,10,1,5,103,2,0,2,1,18,17,2,1,12,nnid
眹橏穰乭潥䑢䅁瑁丰䅴,71,56,0,54,5,0,1,10,0,1,2,1,10,1,5,81,2,0,2,0,10,19,4,1,10,nnid
湰楷祮椷橮䵔䅷㙁䉅䅑,71,85,1,40,5,0,8,10,4,1,2,1,10,1,5,65,2,0,2,0,26,25,3,1,11,nnid
㑡湄こ䈷倵䠴䅧坁䙆䵘,74,77,1,1,5,0,5,10,2,1,2,6,10,1,5,68,1,11,3,1,10,17,3,1,12,nnid
焲䭡穚乭⽗䜲䅑剁䩕䅂,72,73,1,40,5,0,7,2,26,1,2,1,10,1,5,81,2,0,2,1,10,20,3,1,10,nnid
呆器卪䱶剅㍤䅧㝁瑬䅃,72,85,1,44,5,0,8,10,21,1,2,17,9,1,5,119,2,0,2,1,2,26,1,1,11,nnid
䙰浅祈椷潲㝡䅧流瑖䅆,69,48,1,13,5,0,6,10,21,1,2,20,10,6,5,81,2,0,2,0,10,21,4,6,11,nnid
㕲啖祮椷㥪捥䅷灁氱䅂,71,48,1,1,5,0,1,10,0,1,2,1,10,1,5,81,1,0,2,0,2,14,4,1,11,nnid
癯偤睩睑獙畆䅑㙁歗䄲,81,73,0,39,5,0,4,10,12,2,2,20,9,17,5,65,5,1,2,1,26,29,2,1,10,nnid
汯杬䑫楓ぱ獄䅷䅁硇䅵,71,85,1,57,5,0,7,2,28,1,2,8,11,7,1,119,2,0,2,1,2,30,2,0,11,nnid
橬灢䐰楓㡩摷䅧啁瑬䅎,71,107,1,40,5,0,7,10,10,1,2,6,11,5,5,119,2,0,2,1,26,24,3,1,11,nnid
䌴瘴南砱浧坎䅷䝁婆䅐,71,119,1,50,4,0,7,10,10,1,2,1,10,1,5,81,2,0,2,1,10,16,0,1,11,nnid
摉潕稸娷楖浡䅷䅁桇䄰,71,115,0,56,5,0,4,10,0,1,2,1,10,1,5,65,1,0,2,1,18,16,0,1,11,nnid
㑳捓卪䱶噅坳䅑婁䙆䅪,71,103,0,48,5,0,8,10,6,1,2,16,11,7,5,103,2,0,2,0,10,17,3,1,10,nnid
丸条歯䵕㝵欷䅑楁㉖䴱,78,56,1,1,5,0,10,10,6,23,3,24,11,15,1,122,1,11,3,0,10,18,2,1,12,nnid
塲䕍祈椷坶吰䅷䙁䝫䵐,73,56,1,16,5,6,9,2,28,23,3,16,10,9,1,122,3,11,3,1,18,16,2,0,11,nnid
湃倲䑅䈰愶㕑䅁坁䩆䅋,71,69,1,44,5,0,8,10,6,1,2,6,10,1,5,81,2,0,2,1,18,16,3,1,12,nnid
㉤煚睃睑桘ぷ䅑煁婬䴫,70,85,0,33,5,6,1,10,0,1,2,1,10,1,5,122,2,11,3,1,18,16,2,1,10,nnid
欶㡫楢扵塧砰䅷慁䉅䅗,71,85,1,41,5,0,7,10,2,1,2,1,10,1,5,103,2,0,2,0,18,17,3,1,10,nnid
⬷煘䡴煪敶䥨䅷楁乭䅵,71,107,1,54,5,0,7,10,27,1,2,26,11,1,5,119,2,0,2,1,2,13,1,1,12,nnid
剴奵卄䱶䉅⭥䅧奁䈲䅔,71,77,1,53,5,0,15,10,8,1,2,16,9,7,5,65,2,0,2,0,10,16,4,1,10,nnid
䝡䍋潕噑砶〱䅑䭁匱䵇,69,81,1,40,5,6,1,10,0,1,2,6,10,1,5,122,2,11,3,1,26,24,1,1,12,nnid
煗⽣積娷啘呷䅑摁乖䵃,73,81,1,1,5,0,1,10,0,1,2,1,10,1,5,122,1,11,3,1,26,24,2,1,11,nnid
硊偳䅏晍煺瑪䅁䅁䑅䵔,77,77,0,41,5,6,13,10,6,23,3,1,10,1,5,68,3,11,3,1,18,16,2,1,11,nnid
㉳光杨敱㐴汢䅷橁㈰䵇,69,89,1,1,5,0,5,10,2,1,2,6,10,1,5,106,1,11,3,1,10,20,3,1,12,nnid
圴摚杨敱爱呁䅧杁楫䴯,77,77,0,1,5,0,1,10,0,1,2,1,10,1,5,122,1,11,3,0,2,29,3,1,10,nnid
䕊圫穰乭偤娸䅁㑁㕬䅌,71,85,1,53,5,0,8,10,8,1,2,22,11,7,1,81,2,0,2,0,2,14,4,1,11,nnid
摖歌南砱桧橳䅑流䉅䵎,71,77,1,56,4,6,1,10,0,1,2,1,10,1,5,84,4,11,3,1,2,14,2,1,11,nnid
估汙䑉汷桑楖䅧橁㕇䅷,71,69,1,57,5,0,7,10,21,1,2,18,11,1,5,65,2,0,2,0,10,14,3,1,12,nnid
獇娵稵乭汤䍨䅷䅁硖䵃,71,77,1,1,5,0,1,10,0,1,2,1,10,1,5,122,1,11,3,1,10,16,2,1,11,nnid
兰づ䐰䈰吰瑹䅑歁串䵨,72,69,0,42,5,6,16,10,6,23,3,5,11,39,5,122,4,11,3,0,2,13,2,1,10,nnid
癅㝑祈椷㙪佭䅷䅁䉅䅮,71,107,0,23,5,0,7,10,2,1,2,1,10,1,5,119,2,0,2,1,18,16,2,1,11,nnid
癷䥒䑅䈰䐱楘䅧䩁乫䅒,72,85,0,51,5,0,7,10,2,1,2,1,10,1,5,81,2,0,2,0,10,12,3,1,10,nnid
⭮汊礳椷獳⬶䅷摁硬䅩,71,56,0,1,5,0,1,10,0,1,2,1,10,1,5,103,1,0,2,1,18,16,2,1,11,nnid
䕰䝧呋㑁づ义䅧橁摬䅋,71,69,1,54,5,0,7,2,26,1,2,1,10,1,5,119,2,0,2,1,18,16,2,1,11,nnid
㥋慐穰乭癣桃䅷䩁䉫䅃,72,73,1,53,5,0,7,10,8,1,2,21,11,1,5,81,2,0,2,0,10,19,3,1,11,nnid
㍩䕆呡㑁杤䴳䅁䱁ㅅ䅸,67,48,0,40,5,0,7,2,24,1,2,25,11,1,5,119,2,0,2,0,2,14,4,1,11,nnid
买㍴祗䥏畩漯䅧摁乗䅂,71,52,1,57,5,0,7,10,21,1,2,1,10,1,5,81,2,0,2,0,26,25,3,1,12,nnid
㡋婉䴷奤睭求䅧乁摬䅩,71,107,1,39,5,0,7,10,19,1,2,8,11,7,5,119,1,0,2,1,10,20,2,1,12,nnid
䕰啬䑅楓⭪潮䅷㝁氲䅕,71,107,0,51,5,0,8,10,21,1,2,1,10,1,5,65,2,0,2,1,2,26,1,1,11,nnid
佔渱㙑㕓㕒杅䅧䥁噬䅔,71,69,1,48,4,0,7,10,21,1,2,14,11,7,1,103,2,0,2,1,2,29,3,1,12,nnid
䍎奢稸娷䕘票䅑婁䙕䅎,72,107,1,47,5,0,7,2,26,1,2,1,10,1,5,65,4,0,2,0,2,29,3,1,11,nnid
煰硣礳椷㥮噶䅷婁䙫䵐,73,56,0,10,5,6,2,10,23,15,1,18,9,4,5,68,3,11,3,0,2,14,4,5,11,nnid
硨之穣娷䝘䥌䅷䅁桇䅑,71,103,1,42,5,0,7,10,8,1,2,1,10,1,5,81,2,0,2,1,18,16,2,1,11,nnid
兗偍樲䡕啸⭣䅑㙁ㄲ䅴,71,69,1,54,5,0,8,10,10,1,2,12,11,8,5,81,2,0,2,0,2,14,4,12,12,nnid
摍礹穣娷祤ㅮ䅧㉁卆䴹,77,77,0,41,5,6,13,10,6,23,3,14,10,4,5,122,4,11,3,1,10,18,3,1,11,nnid
潌楦穣娷婕塱䅧䅁䉅䅫,71,107,1,51,5,0,7,10,8,1,2,1,10,7,5,65,2,0,2,1,18,16,0,9,11,nnid
䠰㑕穉㙎济慹䅑畁ㅕ䴯,73,89,1,1,5,0,10,10,6,23,3,1,10,7,5,106,1,11,3,1,26,29,2,5,10,nnid
晲嘵穉㙎偁㑄䅷㝁器䅌,71,85,1,1,5,0,5,10,2,1,2,6,10,1,5,103,1,0,2,0,18,20,3,1,12,nnid
祑煔婐業䠯硑䅑流乕䵃,73,69,1,20,5,6,11,2,28,23,3,23,10,1,5,122,2,11,3,1,18,16,2,1,12,nnid
㕊夳䭯獥䙂橒䅷瑁乫䵹,73,48,1,20,5,6,1,10,0,1,2,6,10,1,5,122,3,11,3,0,2,28,3,1,12,nnid
搵祘穰乭㝣婡䅷乁瑆䅑,72,73,1,42,5,0,7,10,10,1,2,1,10,1,5,81,2,0,2,1,10,18,3,1,10,nnid
䙈䕯楲㝋獎䘶䅁㕁硫䅵,71,56,0,41,5,0,8,10,8,1,2,22,11,7,5,119,2,0,2,1,18,16,2,2,11,nnid
䝃潑洯⽰䨰员䅷瑁硖䅰,72,77,1,41,5,0,7,10,10,1,2,1,10,1,5,81,2,0,2,1,26,25,1,1,12,nnid
㘷㐸楢扵穧䅲䅁䑁㕫䵦,69,81,0,5,5,6,1,10,0,1,2,23,9,3,1,122,2,11,3,0,2,13,2,0,10,nnid
㝤獗䅥晍䜰礱䅑㥁乗䅆,71,119,1,48,5,0,7,10,10,1,2,1,10,1,5,65,2,0,2,0,10,19,3,1,10,nnid
穎圴匲砱睶堳䅧㝁桅䅈,71,69,1,44,5,0,8,10,21,1,2,24,11,1,5,103,2,0,2,1,10,19,2,1,11,nnid
㍐䰹呡㑁䩑⭰䅷歁㡗䅧,67,65,0,17,5,0,5,10,2,1,2,16,10,1,5,83,2,0,2,1,11,16,5,6,11,nnid
癤䅸呡㑁䉥杂䅧䱁桅䅨,71,52,0,54,5,0,4,10,2,1,2,1,10,1,5,65,2,0,2,1,2,29,3,1,10,nnid
䱚〶祘佐潅员䅧䅁硑䅹,71,56,1,47,5,0,7,2,28,1,2,6,10,1,5,119,2,0,2,0,26,27,3,1,12,nnid
䈴睥䑕䈰䴳卨䅁䍁灬䅡,69,85,0,16,5,0,1,10,0,1,2,1,10,1,5,103,2,0,2,0,2,12,3,1,10,nnid
潴圶協䱶䱁偫䅷橁摖䵱,73,103,0,1,5,0,1,10,0,1,2,1,10,1,5,68,1,11,3,0,18,22,3,1,10,nnid
䕰䈲礳椷呯㕕䅑汁瑆䅵,71,107,0,50,5,0,1,10,0,1,2,1,10,1,5,119,2,0,2,0,2,14,4,1,11,nnid
